"U:0","U:1","U:2","d","nuT","p","Points:0","Points:1","Points:2"
-0.039612,0.0048374,0,0.0028327,2.1819e-05,-0.0036922,0.026758,0.0028301,0
-0.04304,0.0049933,0,0.0028327,2.3054e-05,-0.0038811,0.027832,0.0028301,0
-0.046596,0.0051409,0,0.0028327,2.4298e-05,-0.0040672,0.028921,0.0028301,0
-0.050273,0.0052774,0,0.0028327,2.5546e-05,-0.0042486,0.030026,0.0028301,0
-0.054062,0.0053999,0,0.0028327,2.679e-05,-0.0044227,0.031146,0.0028301,0
-0.057953,0.0055053,0,0.0028327,2.8024e-05,-0.0045867,0.032282,0.0028301,0
-0.061932,0.0055905,0,0.0028327,2.924e-05,-0.0047373,0.033435,0.0028301,0
-0.065983,0.0056525,0,0.0028327,3.043e-05,-0.0048708,0.034604,0.0028301,0
-0.070089,0.0056878,0,0.0028327,3.1586e-05,-0.004983,0.035789,0.0028301,0
-0.074227,0.0056933,0,0.0028327,3.2699e-05,-0.0050693,0.036992,0.0028301,0
-0.078373,0.0056655,0,0.0028327,3.3761e-05,-0.0051243,0.038211,0.0028301,0
-0.0825,0.0056009,0,0.0028327,3.4762e-05,-0.0051425,0.039448,0.0028301,0
-0.086576,0.0054958,0,0.0028327,3.5693e-05,-0.0051176,0.040703,0.0028301,0
-0.090568,0.0053467,0,0.0028327,3.6546e-05,-0.0050432,0.041975,0.0028301,0
-0.094437,0.0051495,0,0.0028327,3.731e-05,-0.0049121,0.043266,0.0028301,0
-0.098143,0.0049004,0,0.0028327,3.7977e-05,-0.0047172,0.044575,0.0028301,0
-0.10164,0.0045954,0,0.0028327,3.8538e-05,-0.0044513,0.045903,0.0028301,0
-0.10488,0.0042304,0,0.0028327,3.8985e-05,-0.004107,0.047249,0.0028301,0
-0.1078,0.0038012,0,0.0028327,3.9312e-05,-0.0036773,0.048615,0.0028301,0
-0.11034,0.0033057,0,0.0028327,3.9509e-05,-0.0031575,0.05,0.0028301,0
3.3554e-05,-0.00045059,0,0,2.4605e-08,4.0452e-05,0,0.003563,0
0.00014255,-0.00077521,0,0.00069505,1.1855e-07,4.9977e-05,0.00069259,0.003563,0
0.00042677,-0.0013041,0,0.0013975,4.1453e-07,6.3152e-05,0.001395,0.003563,0
0.00080498,-0.0016048,0,0.00211,9.0795e-07,6.2533e-05,0.0021075,0.003563,0
0.0012083,-0.0017018,0,0.0028327,1.4961e-06,4.6293e-05,0.0028301,0.003563,0
0.0015811,-0.0016199,0,0.0033811,1.7363e-06,1.4926e-05,0.003563,0.003563,0
0.0018758,-0.0013828,0,0.0035656,1.2995e-06,-3.1092e-05,0.0043064,0.003563,0
0.0020474,-0.0010123,0,0.0035656,7.4452e-07,-9.1304e-05,0.0050603,0.003563,0
0.0020517,-0.00053132,0,0.0035656,9.8926e-07,-0.00016513,0.005825,0.003563,0
